Team ,Logo Image 
Afghanistan,https://images.icc-cricket.com/image/upload/t_q-best/prd/iwjk0vb7agpa7tyhuzea
Australia,https://images.icc-cricket.com/image/upload/t_q-best/prd/h5apsohhlfsn9ydrivoe
Bangladesh,https://images.icc-cricket.com/image/upload/t_q-best/prd/jxmhkysemy0gkkmjwmct
England,https://images.icc-cricket.com/image/upload/t_q-best/prd/pnintojotbm9ll60cczx
India,https://images.icc-cricket.com/image/upload/t_q-best/prd/neu91cc4x40lphf6ubgh
Ireland,https://images.icc-cricket.com/image/upload/t_q-best/prd/j5p9gymd8zwbdt102sta
New Zealand,https://images.icc-cricket.com/image/upload/t_q-best/prd/ftjoqz45fxlacmrej5oc
Pakistan ,https://images.icc-cricket.com/image/upload/t_q-best/prd/iexljg3x5le23ts9xmwl
South Africa,https://images.icc-cricket.com/image/upload/t_q-best/prd/kaefiv6vudqhj1vbqq0h
Sri Lanka,https://images.icc-cricket.com/image/upload/t_q-best/prd/jb2iqj3djs8g2jbv25nm
West Indies,https://images.icc-cricket.com/image/upload/t_q-best/prd/vwd5gtsu96yeq44kntsv
Zimbabwe,https://images.icc-cricket.com/image/upload/t_q-best/prd/vz1jpphfrjvbuowwrrtt
Scotland,//upload.wikimedia.org/wikipedia/en/thumb/9/96/CricketScotlandLogo.svg/150px-CricketScotlandLogo.svg.png
